,Unnamed: 0,Time [s],Voltage [V],Current [A],Step from cycler,Discharge capacity [A.h],Charge capacity [A.h],Power [W],Discharge energy [W.h],Charge energy [W.h],Step count,Cycle from cycler,Cycle count
0,0,0.0,4.089971937155249,2.5,0,0.0,0.0,10.224929842888121,0.0,0.0,0,1,0
1,1,60.0,4.031317475192769,2.5,0,0.041666666666666664,0.0,10.078293687981922,0.16919352942391702,0.0,0,1,0
2,2,120.0,4.0144819502689435,2.5,0,0.08333333333333333,0.0,10.03620487567236,0.3368143507877027,0.0,0,1,0
3,3,180.0,4.006700998905941,2.5,0,0.125,0.0,10.016752497264852,0.5039223288955128,0.0,0,1,0
4,4,240.0,4.002872325461156,2.5,0,0.16666666666666666,0.0,10.007180813652889,0.6707884398198273,0.0,0,1,0
5,5,300.0,4.000901096004364,2.5,0,0.20833333333333331,0.0,10.00225274001091,0.8375337194336923,0.0,0,1,0
6,6,360.0,3.9996077922114455,2.5,0,0.25,0.0,9.999019480528613,1.0042109879381884,0.0,0,1,0
7,7,420.0,3.998254528727643,2.5,0,0.29166666666666663,0.0,9.995636321819108,1.1708331196244195,0.0,0,1,0
8,8,480.0,3.9963868863295153,2.5,0,0.33333333333333326,0.0,9.990967215823789,1.337388149104777,0.0,0,1,0
9,9,540.0,3.993752686810906,2.5,0,0.3749999999999999,0.0,9.984381717027265,1.503849390211869,0.0,0,1,0
10,10,600.0,3.990244969319129,2.5,0,0.4166666666666665,0.0,9.975612423297823,1.670182674714578,0.0,0,1,0
11,11,660.0,3.9858578686408914,2.5,0,0.45833333333333315,0.0,9.964644671602228,1.8363514838387451,0.0,0,1,0
12,12,720.0,3.9806598737081527,2.5,0,0.4999999999999999,0.0,9.951649684270382,2.0023206034710173,0.0,0,1,0
13,13,780.0,3.974757049828673,2.5,0,0.5416666666666665,0.0,9.936892624571684,2.168058456044701,0.0,0,1,0
14,14,840.0,3.9682773372863447,2.5,0,0.5833333333333331,0.0,9.920693343215861,2.333538339109597,0.0,0,1,0
15,15,900.0,3.961352797500274,2.5,0,0.6249999999999998,0.0,9.903381993750685,2.4987389669176516,0.0,0,1,0
16,16,960.0,3.954109336209597,2.5,0,0.6666666666666664,0.0,9.885273340523993,2.663644428036607,0.0,0,1,0
17,17,1020.0,3.946662822806144,2.5,0,0.708333333333333,0.0,9.86665705701536,2.828243848016102,0.0,0,1,0
18,18,1080.0,3.9391133180848272,2.5,0,0.7499999999999997,0.0,9.847783295212068,2.99253085095133,0.0,0,1,0
19,19,1140.0,3.931547053640701,2.5,0,0.7916666666666663,0.0,9.828867634101751,3.156502942028945,0.0,0,1,0
20,20,1200.0,3.9240249996810377,2.5,0,0.8333333333333329,0.0,9.810062499202594,3.320160693139815,0.0,0,1,0
21,21,1260.0,3.9166009318137127,2.5,0,0.8749999999999996,0.0,9.791502329534282,3.483507066712622,0.0,0,1,0
22,22,1320.0,3.909313040245193,2.5,0,0.9166666666666662,0.0,9.773282600612983,3.646546941130516,0.0,0,1,0
23,23,1380.0,3.902186382713018,2.5,0,0.958333333333333,0.0,9.755465956782546,3.8092865124421458,0.0,0,1,0
24,24,1440.0,3.8952348161283536,2.5,0,0.9999999999999997,0.0,9.738087040320885,3.9717327874180075,0.0,0,1,0
25,25,1500.0,3.88846273298521,2.5,0,1.0416666666666663,0.0,9.721156832463025,4.13389315302454,0.0,0,1,0
26,26,1560.0,3.881865282530344,2.5,0,1.083333333333333,0.0,9.70466320632586,4.295774986681114,0.0,0,1,0
27,27,1620.0,3.875429328851802,2.5,0,1.1249999999999998,0.0,9.688573322129505,4.457385291084909,0.0,0,1,0
28,28,1680.0,3.869134094684243,2.5,0,1.1666666666666665,0.0,9.672835236710608,4.618730362408577,0.0,0,1,0
29,29,1740.0,3.8629468465322336,2.5,0,1.2083333333333333,0.0,9.657367116330583,4.7798153820172535,0.0,0,1,0
30,30,1800.0,3.8568255153403848,2.5,0,1.25,0.0,9.642063788350962,4.9406439728896,0.0,0,1,0
31,31,1860.0,3.850712180637907,2.5,0,1.2916666666666667,0.0,9.626780451594767,5.101217674889148,0.0,0,1,0
32,32,1920.0,3.844529744013825,2.5,0,1.3333333333333333,0.0,9.611324360034562,5.261535214986059,0.0,0,1,0
33,33,1980.0,3.83817554951808,2.5,0,1.375,0.0,9.5954388737952,5.421591575267974,0.0,0,1,0
34,34,2040.0,3.8315196616159537,2.5,0,1.4166666666666665,0.0,9.578799154039885,5.581376892166599,0.0,0,1,0
35,35,2100.0,3.824406753113617,2.5,0,1.4583333333333333,0.0,9.561016882784042,5.740875359140132,0.0,0,1,0
36,36,2160.0,3.8166758241679943,2.5,0,1.4999999999999998,0.0,9.541689560419986,5.900064579500165,0.0,0,1,0
37,37,2220.0,3.808202011344011,2.5,0,1.5416666666666665,0.0,9.520505028360027,6.058916201073332,0.0,0,1,0
38,38,2280.0,3.7989603180112352,2.5,0,1.583333333333333,0.0,9.497400795028089,6.217398749601566,0.0,0,1,0
39,39,2340.0,3.789086908517175,2.5,0,1.6249999999999998,0.0,9.472717271292938,6.375483066820908,0.0,0,1,0
40,40,2400.0,3.778880905337088,2.5,0,1.6666666666666663,0.0,9.44720226334272,6.533149062942871,0.0,0,1,0
41,41,2460.0,3.768717965122194,2.5,0,1.708333333333333,0.0,9.421794912805485,6.69039070607744,0.0,0,1,0
42,42,2520.0,3.758915065357508,2.5,0,1.7499999999999996,0.0,9.397287663393769,6.847216394212433,0.0,0,1,0
43,43,2580.0,3.749634540669714,2.5,0,1.7916666666666663,0.0,9.374086351674285,7.0036445110046675,0.0,0,1,0
44,44,2640.0,3.740877761890201,2.5,0,1.8333333333333328,0.0,9.352194404725502,7.159696850641332,0.0,0,1,0
45,45,2700.0,3.732542458136882,2.5,0,1.8749999999999996,0.0,9.331356145342205,7.31539310522523,0.0,0,1,0
46,46,2760.0,3.724489927345753,2.5,0,1.9166666666666663,0.0,9.311224818364382,7.4707479465894515,0.0,0,1,0
47,47,2820.0,3.7165918233220223,2.5,0,1.9583333333333328,0.0,9.291479558305056,7.625770483061697,0.0,0,1,0
48,48,2880.0,3.708752476737142,2.5,0,1.9999999999999996,0.0,9.271881191842855,7.780465155979597,0.0,0,1,0
49,49,2940.0,3.7009138690367114,2.5,0,2.041666666666666,0.0,9.25228467259178,7.934833204849885,0.0,0,1,0
